ocel:eid,ocel:timestamp,ocel:activity,ocel:type:case:concept:name,ocel:type:org:resource,ocel:type:case:repo
1296,2021-08-19 08:11:56+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/252/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1289,2021-08-19 08:12:44+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/251/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1290,2021-08-19 08:12:44+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/251/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1297,2021-08-19 08:13:12+00:00,reopened,['https://api.github.com/repos/pm4py/pm4py-core/issues/252/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1283,2021-08-19 08:13:32+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/249/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1284,2021-08-19 08:13:32+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/249/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1268,2021-08-19 08:14:22+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/247/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1269,2021-08-22 19:44:56+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/247/timeline'],['Villelmo'],['pm4py/pm4py-core']
1270,2021-08-29 07:20:45+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/247/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1271,2021-09-01 01:05:30+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/247/timeline'],['Villelmo'],['pm4py/pm4py-core']
1272,2021-09-01 05:35:14+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/247/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
